ORDER NUMBER,QUANTITY ORDERED,PRICE EACH,SALES,ORDERDATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,MSRP,PRODUCTCODE,CITY,STATE,POSTALCODE,COUNTRY,TERRITORY,DEALSIZE
10258,32,$100.00,"$7,680.64",06/15/04,Shipped,2,6,2004,Classic Cars,214,S10_1949,Minato-ku,Tokyo,106-0032,Japan,Japan,Large
10270,21,$100.00,"$4,905.39",07/19/04,Shipped,3,7,2004,Classic Cars,214,S10_1949,Chatswood,NSW,2067,Australia,APAC,Medium
10280,34,$100.00,"$8,014.82",08/17/04,Shipped,3,8,2004,Classic Cars,214,S10_1949,Torino,,10100,Italy,EMEA,Large
10291,37,$100.00,"$7,136.19",09/08/04,Shipped,3,9,2004,Classic Cars,214,S10_1949,Boras,,S-844 67,Sweden,EMEA,Large
10304,47,$100.00,"$10,172.70",10/11/04,Shipped,4,10,2004,Classic Cars,214,S10_1949,Versailles,,78000,France,EMEA,Large
10312,48,$100.00,"$11,623.70",10/21/04,Shipped,4,10,2004,Classic Cars,214,S10_1949,San Rafael,CA,97562,USA,NA,Large
10322,40,$100.00,"$6,000.40",11/04/04,Shipped,4,11,2004,Classic Cars,214,S10_1949,Nashua,NH,62005,USA,NA,Medium
10333,26,$100.00,"$3,003.00",11/18/04,Shipped,4,11,2004,Classic Cars,214,S10_1949,San Francisco,CA,,USA,NA,Medium
10347,30,$100.00,"$3,944.70",11/29/04,Shipped,4,11,2004,Classic Cars,214,S10_1949,Melbourne,Victoria,3004,Australia,APAC,Medium
10357,32,$100.00,"$5,691.84",12/10/04,Shipped,4,12,2004,Classic Cars,214,S10_1949,San Rafael,CA,97562,USA,NA,Medium
10369,41,$100.00,"$4,514.92",01/20/05,Shipped,1,1,2005,Classic Cars,214,S10_1949,Brickhaven,MA,58339,USA,NA,Medium
10381,36,$100.00,"$8,254.80",02/17/05,Shipped,1,2,2005,Classic Cars,214,S10_1949,San Francisco,CA,,USA,NA,Large
10391,24,$100.00,"$2,416.56",03/09/05,Shipped,1,3,2005,Classic Cars,214,S10_1949,North Sydney,NSW,2060,Australia,APAC,Small
10411,23,$100.00,"$4,140.23",05/01/05,Shipped,2,5,2005,Classic Cars,214,S10_1949,Montreal,Quebec,H1J 1C3,Canada,NA,Medium
10424,50,$100.00,"$12,001.00",05/31/05,In Process,2,5,2005,Classic Cars,214,S10_1949,Madrid,,28034,Spain,EMEA,Large
10107,39,$99.91,"$3,896.49",02/24/03,Shipped,1,2,2003,Motorcycles,118,S10_2016,NYC,NY,10022,USA,NA,Medium
10120,29,$96.34,"$2,793.86",04/29/03,Shipped,2,4,2003,Motorcycles,118,S10_2016,Melbourne,Victoria,3004,Australia,APAC,Small
10134,27,$100.00,"$3,307.77",07/01/03,Shipped,3,7,2003,Motorcycles,118,S10_2016,Paris,,75508,France,EMEA,Medium
10145,37,$100.00,"$5,192.95",08/25/03,Shipped,3,8,2003,Motorcycles,118,S10_2016,Pasadena,CA,90003,USA,NA,Medium
10159,37,$100.00,"$5,016.83",10/10/03,Shipped,4,10,2003,Motorcycles,118,S10_2016,San Francisco,CA,,USA,NA,Medium
10168,27,$100.00,"$3,660.93",10/28/03,Shipped,4,10,2003,Motorcycles,118,S10_2016,Burlingame,CA,94217,USA,NA,Medium
10180,42,$100.00,"$4,695.60",11/11/03,Shipped,4,11,2003,Motorcycles,118,S10_2016,Lille,,59000,France,EMEA,Medium
10188,38,$96.34,"$3,660.92",11/18/03,Shipped,4,11,2003,Motorcycles,118,S10_2016,Bergen,,N 5804,Norway,EMEA,Medium
10201,24,$100.00,"$3,025.92",12/01/03,Shipped,4,12,2003,Motorcycles,118,S10_2016,San Francisco,CA,,USA,NA,Medium
10210,23,$100.00,"$3,009.09",01/12/04,Shipped,1,1,2004,Motorcycles,118,S10_2016,Osaka,Osaka,530-0003,Japan,Japan,Medium
10223,47,$100.00,"$5,422.39",02/20/04,Shipped,1,2,2004,Motorcycles,118,S10_2016,Melbourne,Victoria,3004,Australia,APAC,Medium
10236,22,$100.00,"$2,852.08",04/03/04,Shipped,2,4,2004,Motorcycles,118,S10_2016,Philadelphia,PA,71270,USA,NA,Small
10251,44,$100.00,"$5,756.52",05/18/04,Shipped,2,5,2004,Motorcycles,118,S10_2016,Newark,NJ,94019,USA,NA,Medium
10263,40,$100.00,"$4,472.00",06/28/04,Shipped,2,6,2004,Motorcycles,118,S10_2016,Bridgewater,CT,97562,USA,NA,Medium
10275,22,$100.00,"$2,904.44",07/23/04,Shipped,3,7,2004,Motorcycles,118,S10_2016,Nantes,,44000,France,EMEA,Small
10285,47,$100.00,"$6,484.59",08/27/04,Shipped,3,8,2004,Motorcycles,118,S10_2016,Cambridge,MA,51247,USA,NA,Medium
10298,39,$96.34,"$3,757.26",09/27/04,Shipped,3,9,2004,Motorcycles,118,S10_2016,Nantes,,44000,France,EMEA,Medium
10308,34,$100.00,"$4,043.96",10/15/04,Shipped,4,10,2004,Motorcycles,118,S10_2016,White Plains,NY,24067,USA,NA,Medium
10318,45,$100.00,"$5,566.50",11/02/04,Shipped,4,11,2004,Motorcycles,118,S10_2016,Allentown,PA,70267,USA,NA,Medium
10329,20,$100.00,"$3,176.00",11/15/04,Shipped,4,11,2004,Motorcycles,118,S10_2016,NYC,NY,10022,USA,NA,Medium
10339,40,$68.92,"$2,756.80",11/23/04,Shipped,4,11,2004,Motorcycles,118,S10_2016,Minato-ku,Tokyo,106-0032,Japan,Japan,Small
10361,26,$51.15,"$1,329.90",12/17/04,Shipped,4,12,2004,Motorcycles,118,S10_2016,Chatswood,NSW,2067,Australia,APAC,Small
10374,39,$100.00,"$5,288.01",02/02/05,Shipped,1,2,2005,Motorcycles,118,S10_2016,South Brisbane,Queensland,4101,Australia,APAC,Medium
10388,50,$44.51,"$2,225.50",03/03/05,Shipped,1,3,2005,Motorcycles,118,S10_2016,New Bedford,MA,50553,USA,NA,Small
10402,45,$100.00,"$5,833.80",04/07/05,Shipped,2,4,2005,Motorcycles,118,S10_2016,Paris,,75016,France,EMEA,Medium
10417,45,$100.00,"$5,887.35",05/13/05,Disputed,2,5,2005,Motorcycles,118,S10_2016,Madrid,,28034,Spain,EMEA,Medium
10107,27,$100.00,"$6,065.55",02/24/03,Shipped,1,2,2003,Motorcycles,193,S10_4698,NYC,NY,10022,USA,NA,Medium
10120,46,$100.00,"$9,264.86",04/29/03,Shipped,2,4,2003,Motorcycles,193,S10_4698,Melbourne,Victoria,3004,Australia,APAC,Large
10134,31,$100.00,"$7,023.98",07/01/03,Shipped,3,7,2003,Motorcycles,193,S10_4698,Paris,,75508,France,EMEA,Large
10145,33,$100.00,"$5,176.38",08/25/03,Shipped,3,8,2003,Motorcycles,193,S10_4698,Pasadena,CA,90003,USA,NA,Medium
10159,22,$100.00,"$4,132.70",10/10/03,Shipped,4,10,2003,Motorcycles,193,S10_4698,San Francisco,CA,,USA,NA,Medium
10168,20,$100.00,"$4,183.00",10/28/03,Shipped,4,10,2003,Motorcycles,193,S10_4698,Burlingame,CA,94217,USA,NA,Medium
10180,41,$100.00,"$8,892.90",11/11/03,Shipped,4,11,2003,Motorcycles,193,S10_4698,Lille,,59000,France,EMEA,Large
10188,45,$100.00,"$8,714.70",11/18/03,Shipped,4,11,2003,Motorcycles,193,S10_4698,Bergen,,N 5804,Norway,EMEA,Large
10201,49,$100.00,"$8,065.89",12/01/03,Shipped,4,12,2003,Motorcycles,193,S10_4698,San Francisco,CA,,USA,NA,Large
10210,34,$100.00,"$6,123.40",01/12/04,Shipped,1,1,2004,Motorcycles,193,S10_4698,Osaka,Osaka,530-0003,Japan,Japan,Medium
10223,49,$100.00,"$9,774.03",02/20/04,Shipped,1,2,2004,Motorcycles,193,S10_4698,Melbourne,Victoria,3004,Australia,APAC,Large
10237,39,$100.00,"$7,023.90",04/05/04,Shipped,2,4,2004,Motorcycles,193,S10_4698,NYC,NY,10022,USA,NA,Large
10251,43,$100.00,"$7,078.23",05/18/04,Shipped,2,5,2004,Motorcycles,193,S10_4698,Newark,NJ,94019,USA,NA,Large
10263,41,$100.00,"$8,336.94",06/28/04,Shipped,2,6,2004,Motorcycles,193,S10_4698,Bridgewater,CT,97562,USA,NA,Large
10275,36,$100.00,"$6,901.92",07/23/04,Shipped,3,7,2004,Motorcycles,193,S10_4698,Nantes,,44000,France,EMEA,Medium
10285,27,$100.00,"$5,438.07",08/27/04,Shipped,3,8,2004,Motorcycles,193,S10_4698,Cambridge,MA,51247,USA,NA,Medium
10299,29,$100.00,"$6,683.34",09/30/04,Shipped,3,9,2004,Motorcycles,193,S10_4698,Helsinki,,21240,Finland,EMEA,Medium
10308,20,$100.00,"$4,570.40",10/15/04,Shipped,4,10,2004,Motorcycles,193,S10_4698,White Plains,NY,24067,USA,NA,Medium
10318,37,$100.00,"$7,667.14",11/02/04,Shipped,4,11,2004,Motorcycles,193,S10_4698,Allentown,PA,70267,USA,NA,Large
10329,26,$100.00,"$5,868.20",11/15/04,Shipped,4,11,2004,Motorcycles,193,S10_4698,NYC,NY,10022,USA,NA,Medium
10339,39,$76.67,"$2,990.13",11/23/04,Shipped,4,11,2004,Motorcycles,193,S10_4698,Minato-ku,Tokyo,106-0032,Japan,Japan,Small
10362,22,$100.00,"$3,664.10",01/05/05,Shipped,1,1,2005,Motorcycles,193,S10_4698,Burlingame,CA,94217,USA,NA,Medium
10374,22,$100.00,"$3,834.38",02/02/05,Shipped,1,2,2005,Motorcycles,193,S10_4698,South Brisbane,Queensland,4101,Australia,APAC,Medium
10388,21,$86.77,"$1,822.17",03/03/05,Shipped,1,3,2005,Motorcycles,193,S10_4698,New Bedford,MA,50553,USA,NA,Small
10403,66,$100.00,"$11,886.60",04/08/05,Shipped,2,4,2005,Motorcycles,193,S10_4698,Liverpool,,WX1 6LT,UK,EMEA,Large
10417,56,$100.00,"$9,218.16",05/13/05,Disputed,2,5,2005,Motorcycles,193,S10_4698,Madrid,,28034,Spain,EMEA,Large
10105,50,$100.00,"$7,208.00",02/11/03,Shipped,1,2,2003,Classic Cars,136,S10_4757,Kobenhavn,,1734,Denmark,EMEA,Large
10119,46,$100.00,"$5,004.80",04/28/03,Shipped,2,4,2003,Classic Cars,136,S10_4757,Salzburg,,5020,Austria,EMEA,Medium
10129,33,$100.00,"$4,398.24",06/12/03,Shipped,2,6,2003,Classic Cars,136,S10_4757,London,,WX3 6FW,UK,EMEA,Medium
10143,49,$100.00,"$5,597.76",08/10/03,Shipped,3,8,2003,Classic Cars,136,S10_4757,New Bedford,MA,50553,USA,NA,Medium
10155,32,$100.00,"$4,526.08",10/06/03,Shipped,4,10,2003,Classic Cars,136,S10_4757,Helsinki,,21240,Finland,EMEA,Medium
10167,44,$100.00,"$5,924.16",10/23/03,Cancelled,4,10,2003,Classic Cars,136,S10_4757,Boras,,S-844 67,Sweden,EMEA,Medium
10178,24,$100.00,"$3,492.48",11/08/03,Shipped,4,11,2003,Classic Cars,136,S10_4757,Toulouse,,31000,France,EMEA,Medium
10186,26,$100.00,"$3,854.24",11/14/03,Shipped,4,11,2003,Classic Cars,136,S10_4757,London,,WA1 1DP,UK,EMEA,Medium
10197,45,$100.00,"$5,324.40",11/26/03,Shipped,4,11,2003,Classic Cars,136,S10_4757,Barcelona,,8022,Spain,EMEA,Medium
10209,39,$100.00,"$5,197.92",01/09/04,Shipped,1,1,2004,Classic Cars,136,S10_4757,Los Angeles,CA,,USA,NA,Medium
10222,49,$100.00,"$5,997.60",02/19/04,Shipped,1,2,2004,Classic Cars,136,S10_4757,San Diego,CA,91217,USA,NA,Medium
10248,20,$100.00,"$2,910.40",05/07/04,Cancelled,2,5,2004,Classic Cars,136,S10_4757,NYC,NY,10022,USA,NA,Small
10261,27,$100.00,"$3,378.24",06/17/04,Shipped,2,6,2004,Classic Cars,136,S10_4757,Montreal,Quebec,H1J 1C3,Canada,NA,Medium
10273,30,$100.00,"$3,508.80",07/21/04,Shipped,3,7,2004,Classic Cars,136,S10_4757,Bruxelles,,B-1180,Belgium,EMEA,Medium
10283,25,$100.00,"$2,992.00",08/20/04,Shipped,3,8,2004,Classic Cars,136,S10_4757,Tsawassen,BC,T2F 8M4,Canada,NA,Small
10295,24,$100.00,"$3,427.20",09/10/04,Shipped,3,9,2004,Classic Cars,136,S10_4757,Boston,MA,51003,USA,NA,Medium
10307,22,$100.00,"$2,692.80",10/14/04,Shipped,4,10,2004,Classic Cars,136,S10_4757,Philadelphia,PA,71270,USA,NA,Small
10316,33,$100.00,"$4,128.96",11/01/04,Shipped,4,11,2004,Classic Cars,136,S10_4757,Cowes,Isle of Wight,PO31 7PJ,UK,EMEA,Medium
10325,47,$64.93,"$3,051.71",11/05/04,Shipped,4,11,2004,Classic Cars,136,S10_4757,Stavern,,4110,Norway,EMEA,Medium
10337,25,$48.05,"$1,201.25",11/21/04,Shipped,4,11,2004,Classic Cars,136,S10_4757,NYC,NY,10022,USA,NA,Small
10350,26,$75.47,"$1,962.22",12/02/04,Shipped,4,12,2004,Classic Cars,136,S10_4757,Madrid,,28034,Spain,EMEA,Small
10359,48,$54.68,"$2,624.64",12/15/04,Shipped,4,12,2004,Classic Cars,136,S10_4757,Reims,,51100,France,EMEA,Small
10373,39,$100.00,"$4,046.25",01/31/05,Shipped,1,1,2005,Classic Cars,136,S10_4757,Oulu,,90110,Finland,EMEA,Medium
10384,34,$100.00,"$4,846.70",02/23/05,Shipped,1,2,2005,Classic Cars,136,S10_4757,San Francisco,CA,,USA,NA,Medium
10395,32,$100.00,"$3,370.56",03/17/05,Shipped,1,3,2005,Classic Cars,136,S10_4757,Paris,,75508,France,EMEA,Medium
10400,64,$100.00,"$9,661.44",04/01/05,Shipped,2,4,2005,Classic Cars,136,S10_4757,San Jose,CA,94217,USA,NA,Large
10414,19,$100.00,"$2,764.88",05/06/05,On Hold,2,5,2005,Classic Cars,136,S10_4757,Boston,MA,51003,USA,NA,Small
10103,42,$100.00,"$5,398.26",01/29/03,Shipped,1,1,2003,Classic Cars,147,S10_4962,Stavern,,4110,Norway,EMEA,Medium
10114,31,$100.00,"$4,305.28",04/01/03,Shipped,2,4,2003,Classic Cars,147,S10_4962,Paris,,75012,France,EMEA,Medium
10126,22,$100.00,"$3,347.74",05/28/03,Shipped,2,5,2003,Classic Cars,147,S10_4962,Madrid,,28023,Spain,EMEA,Medium
10140,26,$100.00,"$3,188.12",07/24/03,Shipped,3,7,2003,Classic Cars,147,S10_4962,Burlingame,CA,94217,USA,NA,Medium
10150,20,$100.00,"$3,191.20",09/19/03,Shipped,3,9,2003,Classic Cars,147,S10_4962,Singapore,,79903,Singapore,Japan,Medium
10164,21,$100.00,"$3,536.82",10/21/03,Resolved,4,10,2003,Classic Cars,147,S10_4962,Graz,,8010,Austria,EMEA,Medium
10175,33,$100.00,"$5,362.83",11/06/03,Shipped,4,11,2003,Classic Cars,147,S10_4962,London,,WX3 6FW,UK,EMEA,Medium
10183,28,$100.00,"$3,433.36",11/13/03,Shipped,4,11,2003,Classic Cars,147,S10_4962,Philadelphia,PA,71270,USA,NA,Medium
10194,26,$100.00,"$4,263.74",11/25/03,Shipped,4,11,2003,Classic Cars,147,S10_4962,Lyon,,69004,France,EMEA,Medium
10207,31,$100.00,"$4,076.19",12/09/03,Shipped,4,12,2003,Classic Cars,147,S10_4962,Boston,MA,51003,USA,NA,Medium
10217,48,$100.00,"$7,020.48",02/04/04,Shipped,1,2,2004,Classic Cars,147,S10_4962,Singapore,,69045,Singapore,APAC,Large
10229,50,$100.00,"$6,426.50",03/11/04,Shipped,1,3,2004,Classic Cars,147,S10_4962,San Rafael,CA,97562,USA,NA,Medium
10245,28,$100.00,"$4,591.72",05/04/04,Shipped,2,5,2004,Classic Cars,147,S10_4962,New Haven,CT,97823,USA,NA,Medium
10259,26,$100.00,"$4,033.38",06/15/04,Shipped,2,6,2004,Classic Cars,147,S10_4962,Singapore,,69045,Singapore,APAC,Medium
10270,32,$100.00,"$4,302.08",07/19/04,Shipped,3,7,2004,Classic Cars,147,S10_4962,Chatswood,NSW,2067,Australia,APAC,Medium
10281,44,$100.00,"$7,020.64",08/19/04,Shipped,3,8,2004,Classic Cars,147,S10_4962,Allentown,PA,70267,USA,NA,Large
10291,30,$100.00,"$3,855.90",09/08/04,Shipped,3,9,2004,Classic Cars,147,S10_4962,Boras,,S-844 67,Sweden,EMEA,Medium
10305,38,$100.00,"$6,680.78",10/13/04,Shipped,4,10,2004,Classic Cars,147,S10_4962,Cambridge,MA,51247,USA,NA,Medium
10313,40,$100.00,"$6,678.00",10/22/04,Shipped,4,10,2004,Classic Cars,147,S10_4962,Vancouver,BC,V3F 2K1,Canada,NA,Medium
10322,46,$61.99,"$2,851.54",11/04/04,Shipped,4,11,2004,Classic Cars,147,S10_4962,Nashua,NH,62005,USA,NA,Small
10334,26,$100.00,"$3,188.12",11/19/04,On Hold,4,11,2004,Classic Cars,147,S10_4962,Lule,,S-958 22,Sweden,EMEA,Medium
10347,27,$100.00,"$4,428.00",11/29/04,Shipped,4,11,2004,Classic Cars,147,S10_4962,Melbourne,Victoria,3004,Australia,APAC,Medium
10357,43,$100.00,"$5,780.92",12/10/04,Shipped,4,12,2004,Classic Cars,147,S10_4962,San Rafael,CA,97562,USA,NA,Medium
10370,35,$65.63,"$2,297.05",01/20/05,Shipped,1,1,2005,Classic Cars,147,S10_4962,North Sydney,NSW,2060,Australia,APAC,Small
10381,37,$100.00,"$6,231.54",02/17/05,Shipped,1,2,2005,Classic Cars,147,S10_4962,San Francisco,CA,,USA,NA,Medium
10391,37,$46.90,"$1,735.30",03/09/05,Shipped,1,3,2005,Classic Cars,147,S10_4962,North Sydney,NSW,2060,Australia,APAC,Small
10411,27,$100.00,"$4,427.73",05/01/05,Shipped,2,5,2005,Classic Cars,147,S10_4962,Montreal,Quebec,H1J 1C3,Canada,NA,Medium
10425,38,$100.00,"$5,894.94",05/31/05,In Process,2,5,2005,Classic Cars,147,S10_4962,Nantes,,44000,France,EMEA,Medium
10108,33,$100.00,"$5,265.15",03/03/03,Shipped,1,3,2003,Classic Cars,194,S12_1099,Makati City,,1227 MM,Philippines,Japan,Medium
10122,42,$100.00,"$7,599.90",05/08/03,Shipped,2,5,2003,Classic Cars,194,S12_1099,Marseille,,13008,France,EMEA,Large
10135,42,$100.00,"$8,008.56",07/02/03,Shipped,3,7,2003,Classic Cars,194,S12_1099,San Rafael,CA,97562,USA,NA,Large
10147,48,$100.00,"$9,245.76",09/05/03,Shipped,3,9,2003,Classic Cars,194,S12_1099,Brickhaven,MA,58339,USA,NA,Large
10159,41,$100.00,"$8,296.35",10/10/03,Shipped,4,10,2003,Classic Cars,194,S12_1099,San Francisco,CA,,USA,NA,Large
10169,30,$100.00,"$5,019.90",11/04/03,Shipped,4,11,2003,Classic Cars,194,S12_1099,North Sydney,NSW,2060,Australia,APAC,Medium
10181,27,$100.00,"$5,411.07",11/12/03,Shipped,4,11,2003,Classic Cars,194,S12_1099,Bergen,,N 5804,Norway,EMEA,Medium
10191,21,$100.00,"$3,840.90",11/20/03,Shipped,4,11,2003,Classic Cars,194,S12_1099,Koln,,50739,Germany,EMEA,Medium
10203,20,$100.00,"$3,930.40",12/02/03,Shipped,4,12,2003,Classic Cars,194,S12_1099,Madrid,,28034,Spain,EMEA,Medium
10211,41,$100.00,"$7,498.90",01/15/04,Shipped,1,1,2004,Classic Cars,194,S12_1099,Paris,,75016,France,EMEA,Large
10225,27,$100.00,"$4,517.91",02/22/04,Shipped,1,2,2004,Classic Cars,194,S12_1099,Gensve,,1203,Switzerland,EMEA,Medium
10238,28,$100.00,"$5,774.72",04/09/04,Shipped,2,4,2004,Classic Cars,194,S12_1099,Kobenhavn,,1734,Denmark,EMEA,Medium
10253,24,$100.00,"$3,922.56",06/01/04,Cancelled,2,6,2004,Classic Cars,194,S12_1099,Liverpool,,WX1 6LT,UK,EMEA,Medium
10266,44,$100.00,"$9,160.36",07/06/04,Shipped,3,7,2004,Classic Cars,194,S12_1099,Reggio Emilia,,42100,Italy,EMEA,Large
10276,50,$100.00,"$9,631.00",08/02/04,Shipped,3,8,2004,Classic Cars,194,S12_1099,Brickhaven,MA,58339,USA,NA,Large
10287,21,$100.00,"$3,432.24",08/30/04,Shipped,3,8,2004,Classic Cars,194,S12_1099,Gensve,,1203,Switzerland,EMEA,Medium
10300,33,$100.00,"$5,521.89",10/04/03,Shipped,4,10,2003,Classic Cars,194,S12_1099,Frankfurt,,60528,Germany,EMEA,Medium
10310,33,$100.00,"$6,934.62",10/16/04,Shipped,4,10,2004,Classic Cars,194,S12_1099,Koln,,50739,Germany,EMEA,Medium
10320,31,$100.00,"$6,876.11",11/03/04,Shipped,4,11,2004,Classic Cars,194,S12_1099,Lule,,S-958 22,Sweden,EMEA,Medium
10329,41,$71.47,"$2,930.27",11/15/04,Shipped,4,11,2004,Classic Cars,194,S12_1099,NYC,NY,10022,USA,NA,Small
10341,45,$79.65,"$3,584.25",11/24/04,Shipped,4,11,2004,Classic Cars,194,S12_1099,Salzburg,,5020,Austria,EMEA,Medium
10363,33,$85.39,"$2,817.87",01/06/05,Shipped,1,1,2005,Classic Cars,194,S12_1099,Espoo,,FIN-02271,Finland,EMEA,Small
10375,45,$76.00,"$3,420.00",02/03/05,Shipped,1,2,2005,Classic Cars,194,S12_1099,Nantes,,44000,France,EMEA,Medium
10389,26,$99.04,"$2,575.04",03/03/05,Shipped,1,3,2005,Classic Cars,194,S12_1099,Boras,,S-844 67,Sweden,EMEA,Small
10419,12,$100.00,"$1,961.28",05/17/05,Shipped,2,5,2005,Classic Cars,194,S12_1099,Salzburg,,5020,Austria,EMEA,Small
10105,41,$100.00,"$8,690.36",02/11/03,Shipped,1,2,2003,Classic Cars,207,S12_1108,Kobenhavn,,1734,Denmark,EMEA,Large
